surveys,variable,label,topic
bhps,cohadv,Advantages in living as couple,Gender & Family
bhps,cohdis,Disadvantages in living as couple,Gender & Family
bhps,crwora,Worry about being affected by crime,"Social Life, Social Cohesion & Trust"
bhps,crworb,Extent of concern about crime,"Social Life, Social Cohesion & Trust"
bhps,dfwld,Different world in future for young,Gender & Family
bhps,lfimpa,Importance of: Health,Health & Morale
bhps,lfimpb,Importance of: Money,Health & Morale
bhps,lfimpc,Importance of: Having children,Health & Morale
bhps,lfimpd,Importance of: Having a good job,Health & Morale
bhps,lfimpe,Importance of: Being independent,Health & Morale
bhps,lfimpf,Importance of: Owning own home,Health & Morale
bhps,lfimpg,Importance of: Good partnership,Health & Morale
bhps,lfimph,Importance of: Good friends,Health & Morale
bhps,opchd1_1,Quality best prep. child: well liked,Gender & Family
bhps,opchd1_2,Quality best prep. child: think for self,Gender & Family
bhps,opchd1_3,Quality best prep. child: work hard,Gender & Family
bhps,opchd1_4,Quality best prep. child: help others,Gender & Family
bhps,opchd1_5,Quality best prep. child: obey parents,Gender & Family
bhps,opcls1,Sees self as belonging to social class,Subjective SES
bhps,opcls2,Subjective social class membership,Subjective SES
bhps,opcls3,Social class affects opportunities,Subjective SES
bhps,opeur1,Opinion: UK membership of EU,"Politics, Government & Economy"
bhps,opeur2,UK benefited from being in EU,"Politics, Government & Economy"
bhps,opeur3,UK long term policy re. EU should be,"Politics, Government & Economy"
bhps,opfama,Pre-school child suffers if mother works,Gender & Family
bhps,opfamb,Family suffers if mother works full-time,Gender & Family
bhps,opfamc,Woman and family happier if she works,Gender & Family
bhps,opfamd,Husband and wife should both contribute,Gender & Family
bhps,opfame,Full time job makes woman independent,Gender & Family
bhps,opfamf,"Husband should earn, wife stay at home",Gender & Family
bhps,opfamg,Children need father as much as mother,Gender & Family
bhps,opfamh,Employers should help with childcare,Gender & Family
bhps,opfami,Single parents are as good as couples,Gender & Family
bhps,opfamj,Cohabiting is always wrong,Gender & Family
bhps,opfamk,Adult children should care for parents,Gender & Family
bhps,opfaml,Divorce better than unhappy marriage,Gender & Family
bhps,opfamm,The man should be head of household,Gender & Family
bhps,opfamn,Bible Gods word and true,Religion & Spirituality
bhps,opfamo,Co-habiting is alright,Gender & Family
bhps,opfamp,Parents ought stay together for children,Gender & Family
bhps,opfamq,Marital status is irrelevant to children,Gender & Family
bhps,opfamr,Homosexual relationships are wrong,Gender & Family
bhps,ophla,All health care should be free,"Politics, Government & Economy"
bhps,ophlb,Compulsory private insurance if can pay,"Politics, Government & Economy"
bhps,ophlc,Unfair that wealth buys medical priority,"Politics, Government & Economy"
bhps,opiss1,Rising prices are a cause for concern,"Politics, Government & Economy"
bhps,opiss2,Ozone layer is a cause for concern,Environment & Climate
bhps,opiss3,Unemployment is a cause for concern,"Politics, Government & Economy"
bhps,opiss4,Threat to nature is a cause for concern,Environment & Climate
bhps,opiss5,Moral standards are a cause for concern,Gender & Family
bhps,opnata,Britain has much to learn,"Politics, Government & Economy"
bhps,opnatb,British citizenship best,"Politics, Government & Economy"
bhps,opnatc,Some shameful things about Britain,"Politics, Government & Economy"
bhps,opnatd,People too ready to criticise Britain,"Politics, Government & Economy"
bhps,opnate,Britain should stay single state,"Politics, Government & Economy"
bhps,opnatf,Co-operation better than independence,"Politics, Government & Economy"
bhps,opngbha,Belong to neighbourhood,"Social Life, Social Cohesion & Trust"
bhps,opngbhb,Local friends mean a lot,"Social Life, Social Cohesion & Trust"
bhps,opngbhc,Advice obtainable locally,"Social Life, Social Cohesion & Trust"
bhps,opngbhd,Can borrow things from neighbours,"Social Life, Social Cohesion & Trust"
bhps,opngbhe,Willing to improve neighbourhood,"Social Life, Social Cohesion & Trust"
bhps,opngbhf,Plan to stay in neighbourhood,"Social Life, Social Cohesion & Trust"
bhps,opngbhg,Am similar to others in neighbourhood,"Social Life, Social Cohesion & Trust"
bhps,opngbhh,Talk regularly to neighbours,"Social Life, Social Cohesion & Trust"
bhps,oppola,Government reflects people's wishes,"Politics, Government & Economy"
bhps,oppolb,People can't influence govt. policy,"Politics, Government & Economy"
bhps,oppolc,Should be max. limit on income,"Politics, Government & Economy"
bhps,oppold,govt. puts nation's interests first,"Politics, Government & Economy"
bhps,oprlg3,Religion makes difference to life,Religion & Spirituality
bhps,opsoca,Ordinary people share nations wealth,"Politics, Government & Economy"
bhps,opsocb,One law for rich and one for poor,"Politics, Government & Economy"
bhps,opsocc,Private enterprise solves economic probs,"Politics, Government & Economy"
bhps,opsocd,Public services ought to be state owned,"Politics, Government & Economy"
bhps,opsoce,Govt. has obligation to provide jobs,"Politics, Government & Economy"
bhps,opsocf,Strong trade unions protect employees,"Politics, Government & Economy"
bhps,trust,Trustworthiness of others,"Social Life, Social Cohesion & Trust"
bhps,vote1,Supports a particular political party,"Politics, Government & Economy"
bhps,vote2,Closer to one political party than other,"Politics, Government & Economy"
bhps,vote4_1,Party affinity: Conservative,"Politics, Government & Economy"
bhps,vote4_2,Party affinity: Labour,"Politics, Government & Economy"
bhps,vote4_3,Party affinity: Liberal Democrat/Lib/SDP,"Politics, Government & Economy"
bhps,vote5,Strength of support for stated party,"Politics, Government & Economy"
bhps,vote6,Level of interest in politics,"Politics, Government & Economy"
gss,abany,Abortion: any reason,Gender & Family
gss,abdefect,Abortion: birth defect,Gender & Family
gss,abhlth,Abortion: mother's health,Gender & Family
gss,abnomore,Abortion: birth control,Gender & Family
gss,abpoor,Abortion: too poor,Gender & Family
gss,abrape,Abortion: rape,Gender & Family
gss,abscale6,Abortion scale (6 items),Gender & Family
gss,abscale7,Abortion scale (7 items),Gender & Family
gss,absingle,Abortion: unmarried,Gender & Family
gss,affrmact,Hiring preferences,"National Identity, Ethnicity & Immigration"
gss,aged,Seniors should live with family,Gender & Family
gss,athscale,Athiest: scale,"Politics, Government & Economy"
gss,attend,Attend religious services,Religion & Spirituality
gss,bible,View of bible,Religion & Spirituality
gss,cappun,Death penalty,"Politics, Government & Economy"
gss,chldidel,Ideal # of children,Gender & Family
gss,class,Social class,Subjective SES
gss,closeblk,Feel close to blacks,"National Identity, Ethnicity & Immigration"
gss,closewht,Feel close to whites,"National Identity, Ethnicity & Immigration"
gss,colath,Athiest: Teach at college,"Politics, Government & Economy"
gss,colcom,Red: Teach at college,"Politics, Government & Economy"
gss,colhomo,Gay: Teach at college,"Politics, Government & Economy"
gss,colmil,Militarist: Teach at college,"Politics, Government & Economy"
gss,colmslm,Islamist: Teach at college,"Politics, Government & Economy"
gss,colrac,Racist: Teach at college,"Politics, Government & Economy"
gss,comscale,Red: scale,"Politics, Government & Economy"
gss,conarmy,Military,"Social Life, Social Cohesion & Trust"
gss,conbus,Major companies,"Social Life, Social Cohesion & Trust"
gss,conclerg,Organized religion,"Social Life, Social Cohesion & Trust"
gss,coneduc,Education,"Social Life, Social Cohesion & Trust"
gss,confed,Executive branch,"Social Life, Social Cohesion & Trust"
gss,confinan,Banks & finance,"Social Life, Social Cohesion & Trust"
gss,conjudge,Supreme Court,"Social Life, Social Cohesion & Trust"
gss,conlabor,Organized labor,"Social Life, Social Cohesion & Trust"
gss,conlegis,Congress,"Social Life, Social Cohesion & Trust"
gss,conmedia,TV & press,"Social Life, Social Cohesion & Trust"
gss,conmedic,Medicine,"Social Life, Social Cohesion & Trust"
gss,conpress,Press,"Social Life, Social Cohesion & Trust"
gss,consci,Scientific community,"Social Life, Social Cohesion & Trust"
gss,contv,Television,"Social Life, Social Cohesion & Trust"
gss,courts,Courts deal with criminals,"Politics, Government & Economy"
gss,discaff,Affirm. action hurt whites,"National Identity, Ethnicity & Immigration"
gss,discaffm,Affirm. action hurt men,Gender & Family
gss,discaffw,Affirm. action hurt women,Gender & Family
gss,divlaw,Divorce laws too lenient,"Politics, Government & Economy"
gss,eqwlth,Government reduce inequality,"Politics, Government & Economy"
gss,fair,People try to be fair,"Social Life, Social Cohesion & Trust"
gss,fear,Afraid to walk at night,"Politics, Government & Economy"
gss,fechld,Working moms warm,Gender & Family
gss,fefam,Better for man to work,Gender & Family
gss,fehire,Hire & promote women,Gender & Family
gss,fejobaff,Preferences for hiring women,Gender & Family
gss,fepol,Men better for politics,Gender & Family
gss,fepresch,Pre-Ks suffer if mom works,Gender & Family
gss,finalter,Finances better or worse,Subjective SES
gss,finrela,Relative income,Subjective SES
gss,fund,Fundamentalist,Religion & Spirituality
gss,genderscale,Scale of gender role attitudes,Gender & Family
gss,getahead,Work to get ahead,Subjective SES
gss,god,Belief about God,Religion & Spirituality
gss,goodlife,Finances will improve,Subjective SES
gss,grass,Legalize marijuana,"Politics, Government & Economy"
gss,gunlaw,Require gun permits,"Politics, Government & Economy"
gss,hapmar,Happiness: marriage,Health & Morale
gss,happy,Happiness: general,Health & Morale
gss,health,Health: self-rated,Health & Morale
gss,helpblk,Government help blacks,"Politics, Government & Economy"
gss,helpful,People try to be helpful,"Social Life, Social Cohesion & Trust"
gss,helpnot,Government do more or less,"Politics, Government & Economy"
gss,helpoth,Child should help others,Gender & Family
gss,helppoor,Government help poor,"Politics, Government & Economy"
gss,helpsick,Government pay medical,"Politics, Government & Economy"
gss,homoscale,Gay: scale,"Politics, Government & Economy"
gss,homosex,Morality: Same-sex sex,Gender & Family
gss,intlblks,Blacks intelligent or not,"National Identity, Ethnicity & Immigration"
gss,intlwhts,Whites intelligent or not,"National Identity, Ethnicity & Immigration"
gss,jobfind,Find a good job,Subjective SES
gss,joblose,Likely to lose job,Subjective SES
gss,kidssol,Mobility next generation,Subjective SES
gss,letdie1,Let die: incurable,Health & Morale
gss,letin1a,How many immigrants?,"National Identity, Ethnicity & Immigration"
gss,libath,Athiest: Library book,"Politics, Government & Economy"
gss,libcom,Red: Library book,"Politics, Government & Economy"
gss,libhomo,Gay: Library book,"Politics, Government & Economy"
gss,libmil,Militarist: Library book,"Politics, Government & Economy"
gss,libmslm,Islamist: Library book,"Politics, Government & Economy"
gss,librac,Racist: Library book,"Politics, Government & Economy"
gss,life,Life: exciting or dull,Health & Morale
gss,liveblks,Neighborhood half black,"National Identity, Ethnicity & Immigration"
gss,livewhts,Neighborhood half white,"National Identity, Ethnicity & Immigration"
gss,marblk,Relative marry black,"National Identity, Ethnicity & Immigration"
gss,marhomo,Gay marriage,Gender & Family
gss,marwht,Relative marry white,"National Identity, Ethnicity & Immigration"
gss,meovrwrk,Men hurt family when overwork,Gender & Family
gss,milscale,Militarist: scale,"Politics, Government & Economy"
gss,misanthropy,Misanthropy scale,"Social Life, Social Cohesion & Trust"
gss,mslmscale,Islamist: Scale,"Politics, Government & Economy"
gss,nataid,Foreign aid,"Politics, Government & Economy"
gss,natarms,Defense,"Politics, Government & Economy"
gss,natchld,Child care,"Politics, Government & Economy"
gss,natcity,Problems of cities,"Politics, Government & Economy"
gss,natcrime,Fighting crime,"Politics, Government & Economy"
gss,natdrug,Dealing with drugs,"Politics, Government & Economy"
gss,nateduc,Education,"Politics, Government & Economy"
gss,natenvir,Protect environment,"Politics, Government & Economy"
gss,natfare,Welfare,"Politics, Government & Economy"
gss,natheal,Improving health,"Politics, Government & Economy"
gss,natmass,Mass transit,"Politics, Government & Economy"
gss,natpark,Parks & recreation,"Politics, Government & Economy"
gss,natrace,Improve life for blacks,"Politics, Government & Economy"
gss,natroad,Highways & bridges,"Politics, Government & Economy"
gss,natsci,Scientific research,"Politics, Government & Economy"
gss,natsoc,Social security,"Politics, Government & Economy"
gss,natspac,Space exploration,"Politics, Government & Economy"
gss,neverrelact,Never active in religion,Religion & Spirituality
gss,news,Read newspaper,"Social Life, Social Cohesion & Trust"
gss,obey,Child should obey,Gender & Family
gss,owngun,Gun owner,"Politics, Government & Economy"
gss,parsol,Mobility,Subjective SES
gss,partyid,Political Party,"Politics, Government & Economy"
gss,pillok,Birth control 14-16 year olds,Gender & Family
gss,polabuse,Police hit person cursing,"Politics, Government & Economy"
gss,polattak,Police hit person punching,"Politics, Government & Economy"
gss,polescap,Police hit person fleeing,"Politics, Government & Economy"
gss,polhitok,Police can hit citizens,"Politics, Government & Economy"
gss,polmurdr,Police hit murder suspect,"Politics, Government & Economy"
gss,polviews,Political views,"Politics, Government & Economy"
gss,polviolent,Police hit: scale,"Politics, Government & Economy"
gss,popespks,Pope infallible,Religion & Spirituality
gss,popular,Child should be popular,Gender & Family
gss,pornlaw,Restrict pornography,Gender & Family
gss,postlife,Life after death,Religion & Spirituality
gss,pray,Pray,Religion & Spirituality
gss,prayer,Bible prayer in schools,"Politics, Government & Economy"
gss,premarsx,Morality: Premarital sex,Gender & Family
gss,racdif1,Racial diff.: discrimination,"National Identity, Ethnicity & Immigration"
gss,racdif2,Racial diff.: inborn,"National Identity, Ethnicity & Immigration"
gss,racdif3,Racial diff.: lack education,"National Identity, Ethnicity & Immigration"
gss,racdif4,Racial diff.: lack will,"National Identity, Ethnicity & Immigration"
gss,racopen,Open housing law,"National Identity, Ethnicity & Immigration"
gss,racscale,Racist: scale,"Politics, Government & Economy"
gss,reborn,Born again,Religion & Spirituality
gss,relactiv,Do religious activities,Religion & Spirituality
gss,relexp,Had religious experience,Religion & Spirituality
gss,relexper,Religious turning point,Religion & Spirituality
gss,reliten,Strength of affiliation,Religion & Spirituality
gss,relpersn,Religious person,Religion & Spirituality
gss,richwork,Would work if rich,Health & Morale
gss,satfin,Satisfied with finances,Health & Morale
gss,satjob,Satisfied with work,Health & Morale
gss,selfhunt,Hunter: self,"Politics, Government & Economy"
gss,sexeduc,Sex-ed. in public schools,Gender & Family
gss,socbar,Meet friends at bar,"Social Life, Social Cohesion & Trust"
gss,socfrend,Meet friends,"Social Life, Social Cohesion & Trust"
gss,socialscale,Social life scale,"Social Life, Social Cohesion & Trust"
gss,socommun,Meet neighbors,"Social Life, Social Cohesion & Trust"
gss,socrel,Meet relatives,"Social Life, Social Cohesion & Trust"
gss,spanking,Spank children,Gender & Family
gss,spkath,Athiest: Make speech,"Politics, Government & Economy"
gss,spkcom,Red: Make speech,"Politics, Government & Economy"
gss,spkhomo,Gay: Make speech,"Politics, Government & Economy"
gss,spkmil,Militarist: Make speech,"Politics, Government & Economy"
gss,spkmslm,Islamist: Make speech,"Politics, Government & Economy"
gss,spkrac,Racist: Make speech,"Politics, Government & Economy"
gss,sprtprsn,Spiritual person,Religion & Spirituality
gss,suicide1,Suicide: incurable,Health & Morale
gss,suicide2,Suicide: bankruptcy,Health & Morale
gss,suicide3,Suicide: dishonor,Health & Morale
gss,suicide4,Suicide: tired of living,Health & Morale
gss,suicidescale,Suicide scale,Health & Morale
gss,teensex,Morality: Sex 14-16 year olds,Gender & Family
gss,thnkself,Child should think for self,Gender & Family
gss,trust,People can be trusted,"Social Life, Social Cohesion & Trust"
gss,tvhours,Watch television,"Social Life, Social Cohesion & Trust"
gss,uswary,US at war next 10 years,"Politics, Government & Economy"
gss,wlthblks,Blacks rich or poor,"National Identity, Ethnicity & Immigration"
gss,wlthwhts,Whites rich or poor,"National Identity, Ethnicity & Immigration"
gss,workblks,Blacks work hard,"National Identity, Ethnicity & Immigration"
gss,workhard,Child should work hard,Gender & Family
gss,workwhts,Whites work hard,"National Identity, Ethnicity & Immigration"
gss,wrkwayup,No racial favors,"National Identity, Ethnicity & Immigration"
gss,xmarsex,Morality: Extramarital affair,Gender & Family
gss,xmovie,Watch X-rated movie,"Social Life, Social Cohesion & Trust"
hilda,atwkadc,Fine for child under 3 to be in all-day care,Gender & Family
hilda,atwkbmw,"Better if man earns money, woman cares for children",Gender & Family
hilda,atwkcdw,"As well for child if mother earns money, father cares for children",Gender & Family
hilda,atwkcs,Children suffer bc father works too much,Gender & Family
hilda,atwkdcm,Better for child to stay with mother in case of divorce,Gender & Family
hilda,atwkfhi,Father should be as involved as mother,Gender & Family
hilda,atwkmmf,Bad for relationship if woman earns more,Gender & Family
hilda,atwkmpl,Men make better political leaders,Gender & Family
hilda,atwkmrl,Most important role for men to be father,Gender & Family
hilda,atwkmsw,Mothers who don't need money shouldn't work,Gender & Family
hilda,atwkpsc,Pre-school child suffers if mother works FT,Gender & Family
hilda,atwkseh,If both partners work they should share domestic tasks,Gender & Family
hilda,atwkwfr,Working father can have as good relationship to child,Gender & Family
hilda,atwkwfs,Working fathers care more about success than needs of children,Gender & Family
hilda,atwkwmr,Working mother can have as good relationship to child,Gender & Family
hilda,atwkwms,Working mothers care more about success than needs of children,Gender & Family
hilda,atwkwrl,Most important role for women to be mother,Gender & Family
hilda,lskeep,Most people you meet keep their word,"Social Life, Social Cohesion & Trust"
hilda,lssop,Most people you meet succeed by stepping on others,"Social Life, Social Cohesion & Trust"
hilda,mcchmf,Children happier with both father and mother,Gender & Family
hilda,mcdef,Cohabitation alright even without marriage intention,Gender & Family
hilda,mcdiv,Divorce alright even with children,Gender & Family
hilda,mchscr,Same rights for homosexual couples,Gender & Family
hilda,mcindpc,Child should start living independently by 18-20,Gender & Family
hilda,mcmhc,A man has to have children in order to be fulfilled,Gender & Family
hilda,mcmoi,Marriage is outdated,Gender & Family
hilda,mcnodiv,Marriage should never be ended,Gender & Family
hilda,mcsingp,Alright for woman to have children as single parent,Gender & Family
hilda,mcwhc,A woman has to have children in order to be fulfilled,Gender & Family
hilda,relimp,Importance of religion,Religion & Spirituality
psid,cds_bothparentscare,Dad should be as involved as mom,Gender & Family
psid,cds_daddevelopment,Dad large role in child development,Gender & Family
psid,cds_dadoldkidbetter,Dad able to enjoy older children more,Gender & Family
psid,cds_dadtooinvolved,Dad too involved if keeps from better job,Gender & Family
psid,cds_daycareok,OK to have child under 3 in all-day care,Gender & Family
psid,cds_fatherhoodfulfill,Dadhood most fulfilling experience,Gender & Family
psid,cds_fatherinteractchild,Dads should interact with child,Gender & Family
psid,cds_firstyears,First 4 years most import. in child's develop.,Gender & Family
psid,cds_girlboyequal,Encourage as much independence in daughters and sons,Gender & Family
psid,cds_husbandcareerimport,Better wife helps husband career,Gender & Family
psid,cds_mostimportantchild_1,Importance for child: obey,Gender & Family
psid,cds_mostimportantchild_3,Importance for child: think for herself,Gender & Family
psid,cds_mostimportantchild_4,Importance for child: work hard,Gender & Family
psid,cds_motherfatherequal,Dad and mom equally good meeting kid's needs,Gender & Family
psid,cds_motherhoodfulfill,Momhood most fulfilling experience,Gender & Family
psid,cds_mothernotft,Mom with child under 5 shouldn't work full-time,Gender & Family
psid,cds_preschoolsuffer,Preschool child suffers if mom employed,Gender & Family
psid,cds_sharehousehold,Husband and wife in both FT should share household,Gender & Family
psid,cds_traditionalbest,Better if man earns living,Gender & Family
psid,cds_workingmotherssame,Working mom as warm as nonworking mom,Gender & Family
psid,gettingbetter,Life getting better,Health & Morale
psid,lifesatis,Life satisfaction,Health & Morale
psid,likejobormoney,Satisfaction about income important in job,Occupation & Education
psid,opinionimport,How much does it matter what other people think about you?,"Social Life, Social Cohesion & Trust"
