surveys,variable,label,topic
psid,satisfiedself,Are you more often satisfied or dissatisfied with yourself?,Health & Morale
psid,savingspending,Spend or save money,Health & Morale
psid,tas_belongcommunity,Freq. of feeling belonging to communty,"Social Life, Social Cohesion & Trust"
psid,tas_contributesociety,Freq. of feeling contrib to society,"Social Life, Social Cohesion & Trust"
psid,tas_divorcehurts,Divorce hurts kids,Gender & Family
psid,tas_divorcesuccess,Child from divorced family can be successful,Gender & Family
psid,tas_fathertimeoff,Dads should take time with young child,Gender & Family
psid,tas_importrel,Importance of religion,Religion & Spirituality
psid,tas_importspirit,Importance of spirituality,Religion & Spirituality
psid,tas_lifesatisfact,How satisfied with life as a whole,Health & Morale
psid,tas_mothersnodemanding,Moms should have demandng job,Gender & Family
psid,tas_peoplearegood,Freq. of feeling people basically good,"Social Life, Social Cohesion & Trust"
psid,tas_religpref0509_2,Religion: Protestant [2005-09],Religion & Spirituality
psid,tas_religpref0509_3,Religion: Catholic [2005-09],Religion & Spirituality
psid,tas_religpref1115_2,Religion: Protestant [2011-15],Religion & Spirituality
psid,tas_religpref1115_3,Religion: Catholic [2011-15],Religion & Spirituality
psid,tas_singleparentsok,Child from single-parent family can do as well,Gender & Family
psid,tas_singleparentsuffer,Single parent hurts kids,Gender & Family
psid,tas_singlewomenkids,Single women should have kids,Gender & Family
psid,tas_societybetter,Freq. of feeling society gettng better,"Social Life, Social Cohesion & Trust"
psid,tas_societymakessense,Feeling way society works makes sense,"Social Life, Social Cohesion & Trust"
psid,tas_spritual,Spiritual person,Religion & Spirituality
psid,thinkfuture,Think about future,Health & Morale
psid,trustothers,Trust most others,"Social Life, Social Cohesion & Trust"
psid,undeserved,Are there a lot of people who have good things they don't deserve?,"Social Life, Social Cohesion & Trust"
shp,pc70,Self-Perception : incapacity to make plans because of unpredictability,Health & Morale
shp,pc71,Self-Perception : little influence on life events,Health & Morale
shp,pc72,Self-Perception : capacity to overcome unexpected problems,Health & Morale
shp,pc73,Self-Perception : capacity to choose between two possibilities,Health & Morale
shp,pc74,Self-Perception : feeling of uselessness,Health & Morale
shp,pc75,Self-Perception : feeling of selfsatisfaction,Health & Morale
shp,pl101,Feeling of security (victimization),Health & Morale
shp,pn56,Values: Lying in own interest,"Social Life, Social Cohesion & Trust"
shp,pn57,Values: Cheating on tax declaration,"Social Life, Social Cohesion & Trust"
shp,pn58,Values: Avoiding a fare on a public transport,"Social Life, Social Cohesion & Trust"
shp,pn59,Values: Claiming state benefits not entitled to,"Social Life, Social Cohesion & Trust"
shp,pn60,Values: Keeping found money,"Social Life, Social Cohesion & Trust"
shp,pn61,Values: Failing to report damage to parked vehicle,"Social Life, Social Cohesion & Trust"
shp,pp01,Interest in politics,"Politics, Government & Economy"
shp,pp02,Overall satisfaction with democracy,"Politics, Government & Economy"
shp,pp03,Feeling about political influence,"Politics, Government & Economy"
shp,pp04,Trust in Federal Government,"Politics, Government & Economy"
shp,pp07,Future: Active in boycott,"Politics, Government & Economy"
shp,pp08,Future: Active in strike,"Politics, Government & Economy"
shp,pp09,Future: Active in demonstration,"Politics, Government & Economy"
shp,pp10,"Political position: Left, right","Politics, Government & Economy"
shp,pp12,Opinion on Swiss army: Direction,"Politics, Government & Economy"
shp,pp13,Opinion on social expenses: Direction,"Politics, Government & Economy"
shp,pp14,Opinion on joining the EU: Direction,"Politics, Government & Economy"
shp,pp15,Opinion on chances for foreigners: Direction,"National Identity, Ethnicity & Immigration"
shp,pp16,Opinion on environmental protection: Direction,Environment & Climate
shp,pp17,Opinion on taxes on high income: Direction,"Politics, Government & Economy"
shp,pp18,Opinion on nuclear energy: Direction,Environment & Climate
shp,pp19_1,Party support: Swiss Radical-Democratic Party,"Politics, Government & Economy"
shp,pp19_3,Party support: PSS Swiss Socialist Party,"Politics, Government & Economy"
shp,pp19_4,Party support: UDC Democratic Union of the Centre,"Politics, Government & Economy"
shp,pp20,Gender: Women in general penalized,Gender & Family
shp,pp21,Gender: Personnally penalized,Gender & Family
shp,pp22,Gender: In favour of measures,Gender & Family
shp,pp23,Gender: Personal action,Gender & Family
shp,pp45,General trust in people,"Social Life, Social Cohesion & Trust"
shp,pp50,Class identification: yes-no,Subjective SES
shp,pp51,Class identification (spontanously): Which,Subjective SES
shp,pp52,Class identification (non spontaneously): Which,Subjective SES
shp,pp53,Public expenses: Protection of the environment,"Politics, Government & Economy"
shp,pp54,Public expenses: Health,"Politics, Government & Economy"
shp,pp55,Public expenses: Day nursery,"Politics, Government & Economy"
shp,pp56,Public expenses: Police and public order,"Politics, Government & Economy"
shp,pp57,Public expenses: Research and education,"Politics, Government & Economy"
shp,pp58,Public expenses: Military and defense,"Politics, Government & Economy"
shp,pp59,Public expenses: Retirement,"Politics, Government & Economy"
shp,pp60,Public expenses: Culture and art,"Politics, Government & Economy"
shp,pp61,Public expenses: Unemployment benefit,"Politics, Government & Economy"
shp,pp62,Public expenses: Aid to developing countries,"Politics, Government & Economy"
shp,pp63,Public expenses: Social aid,"Politics, Government & Economy"
shp,pp64,Opinion on joining the EU: Joining or bilateral agreements,"Politics, Government & Economy"
shp,pp65,Opinion on joining the EU: Continuation or dissolution of bilateral agreements,"Politics, Government & Economy"
shp,pp66,Party identification: yes-no,"Politics, Government & Economy"
shp,pp67_2,Party identification: Swiss Christian-Democrat Party,"Politics, Government & Economy"
shp,pp67_3,Party identification: PSS Swiss Socialist Party,"Politics, Government & Economy"
shp,pp67_4,Party identification: UDC Democratic Union of the Centre,"Politics, Government & Economy"
shp,pp68,Party identification: Proximity,"Politics, Government & Economy"
shp,pp69,Sympathy political party: Liberal party,"Politics, Government & Economy"
shp,pp70,Sympathy political party: Christian democrats,"Politics, Government & Economy"
shp,pp71,Sympathy political party: Social Democrats,"Politics, Government & Economy"
shp,pp72,Sympathy political party: Swiss people's party,"Politics, Government & Economy"
shp,pp73,Sympathy political party: Green party,"Politics, Government & Economy"
shp,pp74,Opinion on federalism: Direction,"Politics, Government & Economy"
shp,pp76,Protection of environment: Importance,Environment & Climate
shp,pp77,Protection of environment: Recycling,Environment & Climate
shp,pp78,Protection of environment: Bin bag fees,Environment & Climate
shp,pp79,Protection of environment: Organic and ecological products,Environment & Climate
shp,pp80,Protection of environment: Purchase of fruits and vegetables,Environment & Climate
shp,pr16,Belief in God or something divine,Religion & Spirituality
shp,pr20,Feeling of spirituality,Religion & Spirituality
shp,pr21,Feeling of religiosity,Religion & Spirituality
shp,pr23,Attitude towards Christianism,Religion & Spirituality
shp,pr24,Attitude towards Islam,Religion & Spirituality
shp,pr25,Attitude towards Hinduism,Religion & Spirituality
shp,pr26,Attitude towards Buddhism,Religion & Spirituality
shp,pr27,Attitude towards Judaism,Religion & Spirituality
shp,pr28,Attitude towards atheism,Religion & Spirituality
soep,plb0104_h,Importance of employment,Occupation & Education
soep,plb0528_h,Priority in career choice: income,Occupation & Education
soep,plb0530_h,Priority in career choice: status,Occupation & Education
soep,plb0531_h,Priority in career choice: social contact,Occupation & Education
soep,plb0532_h,Priority in career choice: compatibility of family and work,Occupation & Education
soep,plc0115,Social Security Contributions,"Politics, Government & Economy"
soep,pld0043,Freq. Lend Friends Pers. Belongings,"Social Life, Social Cohesion & Trust"
soep,pld0044,Freq. Lend Friends Money,"Social Life, Social Cohesion & Trust"
soep,pld0045,Freq. Leave Door Unlocked,"Social Life, Social Cohesion & Trust"
soep,plh0001,Democratic Ideal,"Politics, Government & Economy"
soep,plh0004,Political attitude,"Politics, Government & Economy"
soep,plh0007,Interest in politics,"Politics, Government & Economy"
soep,plh0011_h,Party preference: yes,"Politics, Government & Economy"
soep,plh0012_h1,Party preference: SPD,"Politics, Government & Economy"
soep,plh0012_h2,Party preference: CDU,"Politics, Government & Economy"
soep,plh0012_h3,Party preference: CSU,"Politics, Government & Economy"
soep,plh0012_h4,Party preference: FDP,"Politics, Government & Economy"
soep,plh0012_h5,Party preference: The Greens,"Politics, Government & Economy"
soep,plh0012_h6,Party preference: The Left,"Politics, Government & Economy"
soep,plh0013_h,Party preference: intensity,"Politics, Government & Economy"
soep,plh0014,Government Interference,"Politics, Government & Economy"
soep,plh0015,Extent And Type Of State Powers,"Politics, Government & Economy"
soep,plh0016,Financial Security For Family,"Politics, Government & Economy"
soep,plh0017,Care For Pre-School Children,"Politics, Government & Economy"
soep,plh0018,Care For School Children,"Politics, Government & Economy"
soep,plh0019,Financial Security When Unemployed,"Politics, Government & Economy"
soep,plh0020,Job Creation Schemes,"Politics, Government & Economy"
soep,plh0021,Financial Security When Sick,"Politics, Government & Economy"
soep,plh0022,Help For The Sick,"Politics, Government & Economy"
soep,plh0023,Financial Security In Old-Age,"Politics, Government & Economy"
soep,plh0024,Help For The Elderly,"Politics, Government & Economy"
soep,plh0025,Financial Security When Requiring Care,"Politics, Government & Economy"
soep,plh0026,Help For Those Requiring Care,"Politics, Government & Economy"
soep,plh0030,Worried About Childcare,Gender & Family
soep,plh0031,Worried About Consequences Of EU- Enlargement,"Politics, Government & Economy"
soep,plh0032,Worried About Economic Development,"Politics, Government & Economy"
soep,plh0033,Worried About Finances,Health & Morale
soep,plh0034,worried about stability of financial markets,"Politics, Government & Economy"
soep,plh0035,Worried About Own Health,Health & Morale
soep,plh0036,Worried About Environment,Environment & Climate
soep,plh0037,worried about consequences from climate change,Environment & Climate
soep,plh0038,Worried About Peace,"Politics, Government & Economy"
soep,plh0039,Worried About global terrorism,"Politics, Government & Economy"
soep,plh0040,worried about crime in germany,"Politics, Government & Economy"
soep,plh0041,Worried About Introduction Of Euro,"Politics, Government & Economy"
soep,plh0042,Worried About Job Security,"Politics, Government & Economy"
soep,plh0054,Peace And Order,"Politics, Government & Economy"
soep,plh0054_1,Political goals: prority peace and order,"Politics, Government & Economy"
soep,plh0056,Citizen Influence,"Politics, Government & Economy"
soep,plh0056_1,Political goals: prority citizen influence,"Politics, Government & Economy"
soep,plh0058,Fight Against Inflation,"Politics, Government & Economy"
soep,plh0058_1,Political goals: prority rising prices,"Politics, Government & Economy"
soep,plh0061,Freedom Of Speech,"Politics, Government & Economy"
soep,plh0061_1,Political goals: prority freedom of speech,"Politics, Government & Economy"
soep,plh0090,Importance Of Circle Of Friends,"Social Life, Social Cohesion & Trust"
soep,plh0091_v2,Importance for satisfaction: work,Health & Morale
soep,plh0092_v2,Importance for satisfaction: family,Health & Morale
soep,plh0093_v2,Importance for satisfaction: friends,Health & Morale
soep,plh0094_v2,Importance for satisfaction: income,Health & Morale
soep,plh0095_v2,Importance for satisfaction: dwelling,Health & Morale
soep,plh0096_v2,Importance for satisfaction: political influence,Health & Morale
soep,plh0097_v2,Importance for satisfaction: professional success,Health & Morale
soep,plh0098_v2,Importance for satisfaction: leisure,Health & Morale
soep,plh0099_v2,Importance for satisfaction: health,Health & Morale
soep,plh0100_v2,Importance for satisfaction: protection of environment,Health & Morale
soep,plh0101,"Import.-Rlgion, Belief For Satisfaction",Health & Morale
soep,plh0104,Importance: To Be Able To Afford Sth.,Subjective SES
soep,plh0105,Importance: To help Others,"Social Life, Social Cohesion & Trust"
soep,plh0106,Importance: To Fulfil Once Potential,Health & Morale
soep,plh0107,Importance: To Have Success In The job,Occupation & Education
soep,plh0108,Importance: To Have An Own House,Subjective SES
soep,plh0109,Importance: To have a happy marriage,Gender & Family
soep,plh0110,Importance: To have children,Gender & Family
soep,plh0111,Importance: To be socially and politically active,"Social Life, Social Cohesion & Trust"
soep,plh0112,Importance: To be able to travel and see the world,Health & Morale
soep,plh0113,Entitlement Received Are Deserved,"Politics, Government & Economy"
soep,plh0114,German Citizen Benefits Are Equitable,"Politics, Government & Economy"
soep,plh0152_v1,Satisfaction with democracy [1987-1989],"Politics, Government & Economy"
soep,plh0152_v2,"Satisfaction with democracy [2005,2010,2016]","Politics, Government & Economy"
soep,plh0188,Confident About Future,Health & Morale
soep,plh0192,On The Whole Trust People,"Social Life, Social Cohesion & Trust"
soep,plh0193,Nowadays Can't Trust Anyone,"Social Life, Social Cohesion & Trust"
soep,plh0194,Caution Towards Foreigners,"Social Life, Social Cohesion & Trust"
soep,plh0195,"Most People Are Exploitive, Fair","Social Life, Social Cohesion & Trust"
soep,plh0196,"Most People Are Helpful, Act In Own Interest","Social Life, Social Cohesion & Trust"
soep,plh0197,Willingness To Take Risks While Driving,Health & Morale
soep,plh0198,Willingness To Take Risks In Financial Matters,Health & Morale
soep,plh0199,Willingness To Take Risks In Leisure And Sports,Health & Morale
soep,plh0200,Willingness To Take Risks In Occupation,Occupation & Education
soep,plh0201,Willingness To Take Health Risks,Health & Morale
soep,plh0202,Willingness To Take Risks In Trusting Other People,"Social Life, Social Cohesion & Trust"
soep,plh0204_h,Self-evaluation: risk,Health & Morale
soep,plh0212,Thorough worker,Health & Morale
soep,plh0213,Am communicative,Health & Morale
soep,plh0214,Am sometimes too coarse with others,Health & Morale
soep,plh0215,Am original,Health & Morale
soep,plh0216,Worry a lot,Health & Morale
soep,plh0217,Able to forgive,Health & Morale
soep,plh0218,Tend to be lazy,Health & Morale
soep,plh0219,Am sociable,Health & Morale
soep,plh0220,Value artistic experiences,Health & Morale
soep,plh0221,Somewhat nervous,Health & Morale
soep,plh0222,Carry out tasks efficiently,Health & Morale
soep,plh0223,Reserved,Health & Morale
soep,plh0224,Friendly with others,Health & Morale
soep,plh0225,Have lively imagination,Health & Morale
soep,plh0226,Deal well with stress,Health & Morale
soep,plh0244,Attitude towards future,Health & Morale
soep,plh0253,Personal Patience,Health & Morale
soep,plh0254,Personal Impulsivness,Health & Morale
soep,plh0255,inquisitive,Health & Morale
soep,plh0332,Concerns Child Health,Health & Morale
soep,plh0335,Worried About Own Retirement Pension,"Politics, Government & Economy"
soep,plh0336,Worried About Cohesion in Society,"Social Life, Social Cohesion & Trust"
soep,plj0040,Ties To Local Area,"National Identity, Ethnicity & Immigration"
soep,plj0043,Ties To Local Area,"National Identity, Ethnicity & Immigration"
soep,plj0046,Worried About Immigration To Germany,"National Identity, Ethnicity & Immigration"
soep,plj0047,Worried About Hostility To Foreigners,"National Identity, Ethnicity & Immigration"
soep,plj0078,Feel German,"National Identity, Ethnicity & Immigration"
soep,plj0081,Connected With Country Of Origin,"National Identity, Ethnicity & Immigration"
soep,plj0082,Feeling Of Not Belonging,"National Identity, Ethnicity & Immigration"
soep,plj0083,Feel At Home in Country Of Origin,"National Identity, Ethnicity & Immigration"
ukhls,ahvwell,Importance of doing well in quals,Occupation & Education
ukhls,apvocimp,Importance of Apprenticeship/Vocational,Occupation & Education
ukhls,carbuy1,Comfort,Environment & Climate
ukhls,carbuy10,Safety,Environment & Climate
ukhls,carbuy11,Speed/performance,Environment & Climate
ukhls,carbuy12,"Features - SAT-NAV, CD player, music system, power steering etc...",Environment & Climate
ukhls,carbuy2,Costs - purchase/running/resale value/tax/insurance,Environment & Climate
ukhls,carbuy3,Small engine,Environment & Climate
ukhls,carbuy4,Large engine,Environment & Climate
ukhls,carbuy5,Environmentally friendly/low CO2 emissions,Environment & Climate
ukhls,carbuy6,Electric car/van - one that's plugged directly into an electricity supply,Environment & Climate
ukhls,carbuy7,Style/design/image of brand/model,Environment & Climate
ukhls,carbuy8,Interior space/functionality/boot size,Environment & Climate
ukhls,carbuy9,Reliability,Environment & Climate
ukhls,civicduty,Sense of civic duty,"Politics, Government & Economy"
ukhls,colbens1,party sympathy: conservative,"Politics, Government & Economy"
ukhls,colbens2,party sympathy: labour,"Politics, Government & Economy"
ukhls,colbens3,party sympathy: liberal democrats,"Politics, Government & Economy"
ukhls,demorient,Democratic orientation,"Politics, Government & Economy"
ukhls,eumem,Should UK remain a member of the EU,"Politics, Government & Economy"
ukhls,ocimpa,Occupation: Important: Job Security,Occupation & Education
ukhls,ocimpb,Occupation: Important: High income,Occupation & Education
ukhls,ocimpe,Occupation: Important: Lot leisure time,Occupation & Education
ukhls,ocimpf,Occupation: Important: Interesting job,Occupation & Education
ukhls,ocimpi,Occupation: Important: Contribute to soc.,Occupation & Education
ukhls,ocimpk,Occupation: Important: Time for family,Occupation & Education
ukhls,ocimpl,Occupation: Important: Job help others,Occupation & Education
ukhls,oprlg,Whether belong to a religion,Religion & Spirituality
ukhls,oprlg1_1,Religion: Church of England/Anglican,Religion & Spirituality
ukhls,oprlg1_11,Religion: Muslim/Islam,Religion & Spirituality
ukhls,oprlg1_2,Religion: Roman Catholic,Religion & Spirituality
ukhls,oprlg3,Religion makes a difference to life,Religion & Spirituality
ukhls,scenv_ftst,How feel about current lifestyle and the environment,Environment & Climate
ukhls,scenv_grn,Being green is an alternative lifestyle,Environment & Climate
ukhls,scfannoy,Friends get on my nerves,"Social Life, Social Cohesion & Trust"
ukhls,scfcritic,Friends criticise me,"Social Life, Social Cohesion & Trust"
ukhls,scopecl200,Affected by climate change next 200 years,Environment & Climate
ukhls,scopecl30,Affected by climate change next 30 years,Environment & Climate
ukhls,scopfamb,Family suffers if mother works full-time,Gender & Family
ukhls,scopfamd,Husband and wife should contribute to hh income,Gender & Family
ukhls,scopfamf,"Husband should earn, wife should stay at home",Gender & Family
ukhls,scopngbha,Belong to neighbourhood,"Social Life, Social Cohesion & Trust"
ukhls,scopngbhb,Local friends mean a lot,"Social Life, Social Cohesion & Trust"
ukhls,scopngbhc,Advice obtainable locally,"Social Life, Social Cohesion & Trust"
ukhls,scopngbhd,Can borrow things from neighbours,"Social Life, Social Cohesion & Trust"
ukhls,scopngbhe,Willing to improve neighbourhood,"Social Life, Social Cohesion & Trust"
ukhls,scopngbhf,Plan to stay in neighbourhood,"Social Life, Social Cohesion & Trust"
ukhls,scopngbhg,Am similar to others in neighbourhood,"Social Life, Social Cohesion & Trust"
ukhls,scopngbhh,Talk regularly to neighbours,"Social Life, Social Cohesion & Trust"
ukhls,scpundstnd,Spouse/partner understands way I feel,Gender & Family
ukhls,scrannoy,Family gets on my nerves,Gender & Family
ukhls,scrcritic,Family criticises me,Gender & Family
ukhls,scrletdwn,Family lets me down,Gender & Family
ukhls,scrrely,Can rely on family,Gender & Family
ukhls,vote1,Supports a particular political party,"Politics, Government & Economy"
ukhls,vote2,Closer to one political party than others,"Politics, Government & Economy"
ukhls,vote3_1,Party support: Conservatives,"Politics, Government & Economy"
ukhls,vote3_2,Party support: Labour,"Politics, Government & Economy"
ukhls,vote3_3,Party support: Liberal Democrat,"Politics, Government & Economy"
ukhls,vote4_1,Party affinity: Conservatives,"Politics, Government & Economy"
ukhls,vote4_2,Party affinity: Labour,"Politics, Government & Economy"
ukhls,vote4_3,Party affinity: Liberal Democrat,"Politics, Government & Economy"
ukhls,vote5,Strength of support for stated party,"Politics, Government & Economy"
ukhls,vote6,Level of interest in politics,"Politics, Government & Economy"
ukhls,voteintent,Voting intention,"Politics, Government & Economy"
ukhls,votenorm,Voting as a social norm,"Politics, Government & Economy"